name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,naver_star_point_qty,naver_blog_review_txt,naver_blog_review_qty
커피킹,비알코올 ,카페,커피 전문점,흑석동,37.50758503,126.9602236,비알코올 카페커피 전문점,흑석동%20커피킹,https://m.place.naver.com/restaurant/1294226253,테이크아웃커피,4.71,342, 조그만한 가게지만와플이맛있어요  아아 한 잔으로 오후의 졸음 몰아냈어요. 음료 맛나고 가격 착해요.,4
빽찐라면,기타 간이,김밥/만두/분식,한식 면 요리 전문점,상도1동,37.50143537,126.9495307,기타 간이김밥 만두 분식한식 면 요리 전문점,상도1동%20빽찐라면,https://m.place.naver.com/restaurant/37604797,라면,4.36,325,?? 백종원 선생님의 손길이 닿은 빽찐라면 ?? 상도역에 위치한 빽찐라면~ 가게 내부에는 중앙대학교 학생들로 가득했습니다! 골목식당에서 재밌게 본 편이라 기대 많았습니다~ 저는 찐라면으로 주문했고 맛은 그 기대 이상으로 맛있었어요!! 한국인들이 싫어할 수 없는 맛..ㅎㅎ 남자 사장님 친절하시고 특히 가게 청결에 신경 많이 쓰시는게 느껴졌습니다~ 다만  사리 추가가 있으면 더 좋을거 같아요ㅎㅎ 정말 맛있는 라면 한 끼 드실분들 추천합니다~ ?? 추천메뉴 : 찐라면(6 000원)  반공기밥(500원) 빽라면 찐라면 마라라면 다 너무 맛있어요….?? 이런맛집이 근처에 있어서 고마울정도?? 집에서 라면안끓여먹게 되고 맨날 여기가고싶어한다는게 단점입니다…?ㅋㅋㅋㅋㅋ 매장이 작긴하나 작아서 더 느낌있달까요ㅎ 그리고 굉장히 청결하게 관리하시더라구요!! 또 갈게요 사장님 건강하세요~! 오픈 키친이고 사장님 친절하십니다 단무지가 엄청 얇게 썰려져서 맛을 해치지 않고 맛있어요!! 마라맛 강추,144
미묘,일식,일식 회/초밥,일식 음식점업,흑석동,37.50803727,126.9624682,일식일식 회 초밥일식 음식점업,흑석동%20미묘,https://m.place.naver.com/restaurant/38322996,일본식라면,4.38,43,????????? 흑석에서 라멘 처음 먹어보는데 가성비 괜찮아요~~ 밥도 무료라서 좋아욤?? 동네라멘집이지만 맛있습니다,31
고렝,동남아시아,베트남식 전문,기타 외국식 음식점업,상도1동,37.49446171,126.9587432,동남아시아베트남식 전문기타 외국식 음식점업,상도1동%20고렝,https://m.place.naver.com/restaurant/1082149369,아시아음식,4.4,300,??인생팟타이집?? 숭실대 근처 살때 자주 갔는데 이사 가고도 찾아갈 정도의 맛집입니다ㅠㅠ 대학 근처라 가성비 쩔고 팟타이 재료도 선택 가넝해요! 저는 무조건 닭고기 매운맛으로 먹는데 강추입니다ㅠㅠ 쌀국수도 맛있고 식전 빵도 맛있고 물병도 예뻐서 물도 맛있는 수준이요;; 걍 이보다 더 좋을 수는 없음…!?? 해산물미고랭 면 추가에 우육면입니다. 우육면은 정말 빨리 나오는데 면에 간이 조금 덜 밴 느낌? 이어서 살짝 아쉬웠어요. 미고랭은 처음 먹어보는데 계란면이어서 담백한데 기름져서 맛있었어요ㅎㅎ 잘 먹었습니다 :),168
서달양조장,주점,요리 주점,기타 주점업,흑석동,37.50801203,126.9626721,주점요리 주점기타 주점업,흑석동%20서달양조장,https://m.place.naver.com/restaurant/1174982785,맥주 호프,4.53,72,. . 친절하시고 감바스 먹태 다 맛있었어요 ㅎ 분위기도 좋아서 생맥만 육마넌치넘게 먹고가네요 ㅎ,7
밥은화,한식,백반/한정식,한식 일반 음식점업,흑석동,37.50673316,126.9596699,한식백반 한정식한식 일반 음식점업,흑석동%20밥은화,https://m.place.naver.com/restaurant/1212003552,한식,4.71,367,"""밥은화"" 중앙대점~^^3번째방문 합니다!! 너무맛나용♡ 삼겹부추덮밥이 간도딱맞궁!! 양이많아요^^ ""무엇보다도""~젊은직원분들도 너무친절해용♡ 자주방문할게요^^ 배달도되네용?♡ 리뷰쓰면""한입야끼만두나 음료수도 주네용"" 감사합니당♡??  워낙혼자있는것을 좋아해서 점심시간에 먹으러갑니다^^* 맛있고~깔끔하고 양도푸짐하고 ?? 해쉬브라운단품으로~??처음먹어보았는데 패스트푸드점에서 파는것보다~훨씬 맛있드라구요*^^* 오늘도 잘먹었습니당!♡^^* 삼겹부추덮밥!!♡ 가성비 좋으면서 맛있는 곳으로 추천받았는데 진짜 너무 좋은 것 같아요! 우선 가격이 정말정말 착하면서 양도 많고  특히 김치가 너무너무 맛있어서 더더 맛있게 먹은것같습니다?? 친구들과 다같이 갔었는데  혼밥하기에 좋은 자리들도 많고 식당 자체가 깔끔해서 더 편하고 맛있게 먹은 것 같습니다:D 앞으로 자주 오게 될 것 같아요!! 파는 메뉴들을 한번씩 다 먹어보고 싶은 마음입니다ㅎㅎㅎ 저도 추천 받은 식당이지만 앞으로는 제가 추천하고 다닐 것 같이 맛있는 식당이예요..?? 덕분에 오늘 점심이 너무너무 행복했습니다*.☆?(?˙?˙?)?♡.*",22
우뇽파스타뚝배기스파게티,서양식,경양식,서양식 음식점업,흑석동,37.50696571,126.9615216,서양식경양식서양식 음식점업,흑석동%20우뇽파스타뚝배기스파게티,https://m.place.naver.com/restaurant/1097160609,스파게티 파스타전문,4.77,131,"""처음 경험해보는 뚝배기 파스타 ! 정겨운 맛이었습니다"" 학교 앞이라서 매일 가보자 가보자하고 이제서야 가보았습니다. 크림 파스타를 좋아하는 저는 치킨 크림 파스타  남자친구는 토마토을 선호하여 카라멜 베이컨을 골랐고 마늘빵도 함께 주문했습니다. 주방장님이 혼자 일하고 계셔서 그런지  음식은 대략 30분 정도 뒤에 나왔어요 ! 마늘빵은 달짝지근한 맛이 살짝 있는 빵이었고  크림은 간이 세지 않은 파스타였어요. 프렌차이즈의 맛을 기대하면 안되는  집에서 부모님이 만들어주시는 정겨운 맛이었습니다. 토마토는 양파가 카라멜라이징되어 단맛과 탄맛이 살짝 느껴졌습니다. 뜨거울때 먹어도 좋지만 크림은 다 식고 먹으니 꾸덕함이 배가 되어서 좋았어요. 다음엔 로제를 먹어보고 싶어요 ! ?? 닭다리살 크림 파스타 12 500 가격이 조금 비싼 편이지만  양은 은근 많아요. 처음엔 끓어나와서 간이 좀 약했는데 먹다보니 졸아서 괜찮았어요. 맛은 꾸덕하고 살짝 달달한 편입니다. 닭고기는 따로 선조리를 거치지 않고 그대로 끓여서 그런지 소스 간보단 밍밍하고 부들부들한 식감이었습니다. 음료수는 2000원 추가하면 리필이에요. 식당 자리배치도 쾌적하고 편안한 식사였습니다. 개인적으로 노래도 사장님의 옛날 감성이 묻어나와서 좋았어요. 점심시간에 손님이 엄청 많아서 음식 나오는데 시간이 조금 걸려요 시래기파스타 신기해서 먹어봤는데 완전 맛있었어요! 오일이랑 시래기가 잘어울리네요????",48
프랑세즈,비알코올 ,카페,커피 전문점,흑석동,37.50792682,126.9642568,비알코올 카페커피 전문점,흑석동%20프랑세즈,https://m.place.naver.com/restaurant/32799888,베이커리,4.6,1737,[광고아님! 지극히 개인적 빵순이의 도움되실 관점] 맛 4/5  청결 4/5  가격(가성비)4/5 인테리어나 분위기로만 승부하는 곳 보단 올바른 혹은 좋은 재료로 맛을 얼마나 합리적인 가격과 청결함으로 만드느냐가 개인적인 평가의 관점이므로 도움되길! (개인적인 감정은 최대한 배제하려고하기에 친절도는 마지막에 덧붙일게요) 바로 전 단호박 크림치즈 빵과 비교해 보시면 더 좋을 듯 이곳은 파넷트에 비해 빵이 더 많았음에도 빵이 고소하고 맛있어서 전체적으로 부드럽고 맛있었어요 이 이외에도 특히 깜빠뉴가 가격도 참 좋고 좋은 재료를 쓴다는게 느껴지는 집  프랑세즈빵은 많이 먹어도 속이 편해요. 빵종류도 케이크도 모두 맛있지만 샌드위치 꼭 드셔보세요. 진짜 진짜 맛있어요. ^^ 이전에 샌드위치 너무 맛있게 먹어서 근처 왔다가 들렀어요 2층에서 먹고 갈 수도 있고 생각보다 자리 많고 넓어요 마늘빵 크랜베리 샌드위치 둘 다 너무너무 맛있었어요 직원분도 엄청 친절하세요????,243
리치몽브레카페,비알코올 ,카페,커피 전문점,흑석동,37.50704464,126.9623009,비알코올 카페커피 전문점,흑석동%20리치몽브레카페,https://m.place.naver.com/restaurant/1213366688,베이커리,4.32,744,1층 이마트 입구 옆에 빵매장 2층에는 좌석 있는 빵집으로 운영하시네요. 빵이 신선하고 맛있었습니다. 가성비도 괜찮다고 생각합니다~ 샌드위치 애용하고 있어요. 4천원인데 가격 적절한 듯. 이마트 앞을 지나갈 때마다 마늘빵 향기가 좋아서 사먹어 봤어요~ 근데 진짜 맛있네요?? 쌀빵종류가 많았어요~ 그제도 어제도 사 먹고 맛있어서 또 사 먹었어요~쌀빵이고 무방부제라서 더 믿음도가고 맛있어요~ 또 방문할게요^^,5
이공커피,비알코올 ,카페,커피 전문점,흑석동,37.50696571,126.9615216,비알코올 카페커피 전문점,흑석동%20이공커피,https://m.place.naver.com/restaurant/1632203123,카페 디저트,4.62,959,"22년 6월8일부터 ""흑석역""근처 근무하는 직장인인데요~~^^ 언제가도 친절하시고 음료가 전메뉴 가격이 착하고 저희동료들도 전직원단골입니다♡ 처음리뷰써보아요♡ 전직원분들이~친절하세요♡  아아싸고 저는 괜찮아요. 그런데 맛은 초창기보다 구수한 맛이 없어졌어요. 그래서인지 손님도 줄은것도 같아요. 싸고 맛있는 이공커피 아이스 아메리카노 매일 먹어요ㆍ 유명프랜차이즈 커피 보다 맛도 양도 만족합니다",33
